Campaign,Ad group,Keyword,Max. CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Avg. pos.,Conversions,Cost / conv.,New CPC
/UI/Martin-St. Lucie-Okeechobee Counties_FL>65>SBMM>Desktop>US>Community_GPPC600,Port Saint Lucie_FL>65>Port St. Lucie, +Port +St. +Lucie,0.91,158,"6,863",0.023,0.92,144.65,2.4,1.67,86.79,0.637
/UI/Fort Myers_FL>64>SBMM>Desktop>US>Community_GPPC600,Cape Coral_FL>64>Cape Coral, +Cape +Coral,1.68,82,"7,569",0.0108,1.6,130.86,2.4,1,130.86,0.924
/UI/Martin-St. Lucie-Okeechobee Counties_FL>65>SB>Desktop>US>Community_GPPC600,Port Saint Lucie_FL>65>Port St. Lucie,Port St. Lucie,0.94,122,"3,307",0.0369,0.93,113.18,2.4,0.76,148.55,0.752
/UI/Denver_CO>48>SX>Desktop>US>Community_GPPC600,Denver_CO>48>Stapleton,Stapleton,1.81,49,"1,760",0.0278,1.75,85.55,2.3,1,85.55,0.9955
/UI/Houston_TX>279>SBMM>Desktop>US>Community_GPPC600,Cypress_TX>279>Bridgeland 80', +Bridgeland +,2,45,736,0.0611,1.7,76.69,2.3,0,0,0.9
/UI/Orlando_FL>74>SB>Desktop>US>Community_GPPC600,Kissimmee_FL>74>Reunion Resort,Reunion Resort,1.34,56,"1,755",0.0319,1.2,66.94,4,1,66.94,0.938
/UI/Charleston_SC>253>SX>Desktop>US>Community_GPPC600,Mount Pleasant_SC>253>Carolina Park,Carolina Park,1.46,47,"2,806",0.0167,1.4,65.58,2.6,0,0,0.9
/UI/Houston_TX>279>SX>Desktop>US>Community_GPPC600,Missouri City_TX>279>Sienna Plantation,Sienna Plantation,1.65,41,"1,341",0.0306,1.59,65.37,2.6,0,0,0.9
/UI/Charlotte_NC>174>SBMM>Desktop>US>Community_GPPC600,Lancaster_SC>174>Walnut Creek,Walnut Creek,0.96,84,"1,101",0.0763,0.77,64.8,2,1,64.8,0.768
/UI/Dallas_TX>275>SBMM>Desktop>US>Community_GPPC600,Krugerville_TX>275>The Woodlands, +The +Woodlands,0.95,67,"2,873",0.0233,0.91,61.02,2.4,0,0,0.9
/UI/Tampa-St. Petersburg_FL>80>SBMM>Desktop>US>Community_GPPC600,Land O Lakes_FL>80>Connerton, +Connerton,2,35,341,0.1026,1.7,59.44,1.6,1,59.44,0.9
/UI/Houston_TX>279>SBMM>Desktop>US>Community_GPPC600,The Woodlands_TX>279>Del Webb - The Woodlands®,Woodlands homes,1.22,47,"1,585",0.0297,1.14,53.81,2.9,0,0,0.9
/UI/San Jose_CA>35>SBMM>Desktop>US>Community_GPPC600,Morgan Hill_CA>35>Valencia, +Valencia,1.58,35,"2,071",0.0169,1.54,53.75,2.3,1,53.75,0.869
/UI/Houston_TX>279>SB>Desktop>US>Community_GPPC600,Conroe_TX>279>Conroe,Conroe,1.03,52,"1,959",0.0265,1.02,52.83,2.1,2,26.42,0.824
/UI/Jacksonville-St. Augustine_FL>68>SBMM>Desktop>US>Community_GPPC600,Ponte Vedra_FL>68>Nocatee, +Nocatee,0.9,56,"1,488",0.0376,0.91,51.11,2.7,2,25.56,0.72
